UIN;Incident.year;Victim.injury;State;Shark.common.name;Shark.scientific.name;;Victim.gender;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1791;fatal;NSW;white shark;Carcharodon carcharias ;;female;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1803;injured;WA;tiger shark;Galeocerdo cuvier ;;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1807;injured;NSW;bull shark;Carcharhinus leucas;;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1820;fatal;TAS;;;;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;1825;injured;NSW;bull shark;Carcharhinus leucas;;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;1830;injured;TAS;white shark;Carcharodon carcharias ;;female;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;1832;injured;NSW;bull shark;Carcharhinus leucas;;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1832;injured;NSW;white shark;Carcharodon carcharias ;;female;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1836;injured;SA;white shark;Carcharodon carcharias ;;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1836;fatal;QLD;whaler shark;Carcharhinidae;;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;1836;fatal;QLD;whaler shark;Carcharhinidae;;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;1837;fatal;NSW;bull shark;Carcharhinus leucas;;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;1839;fatal;VIC;white shark;Carcharodon carcharias ;;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;1840;fatal;NSW;bull shark;Carcharhinus leucas;;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;1841;fatal;NSW;bull shark;Carcharhinus leucas;;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1847;injured;QLD;bull shark;Carcharhinus leucas;;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1847;injured;QLD;bull shark;Carcharhinus leucas;;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;1849;fatal;WA;white shark;Carcharodon carcharias ;;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1849;injured;VIC;white shark;Carcharodon carcharias ;;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;1849;fatal;NSW;bull shark;Carcharhinus leucas;;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;1850;fatal;QLD;tiger shark;Galeocerdo cuvier ;;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;1850;injured;NSW;whaler shark;Carcharhinidae;;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;1853;injured;NSW;wobbegong;Orectolobidae;;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;1855;injured;QLD;bull shark;Carcharhinus leucas;;female;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;1855;uninjured;NSW;bull shark;Carcharhinus leucas;;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;1855;fatal;QLD;tiger shark;Galeocerdo cuvier ;;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;1855;fatal;NSW;bull shark;Carcharhinus leucas;;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;1856;injured;VIC;white shark;Carcharodon carcharias ;;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;1856;injured;SA;wobbegong;Orectolobidae;;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;1858;fatal;VIC;white shark;Carcharodon carcharias ;;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;1860;injured;SA;white shark;Carcharodon carcharias ;;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;1861;injured;QLD;wobbegong;Orectolobidae;;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;1862;injured;VIC;white shark;Carcharodon carcharias ;;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;1862;fatal;QLD;bull shark;Carcharhinus leucas;;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;1863;fatal;NSW;bull shark;Carcharhinus leucas;;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;1863;fatal;QLD;tiger shark;Galeocerdo cuvier ;;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;1863;injured;VIC;white shark;Carcharodon carcharias ;;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;1863;fatal;QLD;tiger shark;Galeocerdo cuvier ;;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;1865;fatal;VIC;white shark;Carcharodon carcharias ;;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;1868;injured;QLD;tiger shark;Galeocerdo cuvier ;;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;1869;injured;QLD;bull shark;Carcharhinus leucas;;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;1869;injured;SA;broadnose sevengill shark;Notorynchus cepedianus;;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;1870;injured;QLD;bull shark;Carcharhinus leucas;;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;1870;injured;QLD;whaler shark;Carcharhinidae;;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;1872;injured;QLD;;;;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;1873;uninjured;SA;white shark;Carcharodon carcharias ;;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;1874;injured;NSW;bull shark;Carcharhinus leucas;;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;1874;injured;QLD;bull shark;Carcharhinus leucas;;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;1874;injured;NSW;wobbegong;Orectolobidae;;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;1875;injured;NSW;tiger shark;Galeocerdo cuvier ;;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;1875;fatal;QLD;tiger shark;Galeocerdo cuvier ;;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;1875;injured;NSW;white shark;Carcharodon carcharias ;;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
