CalendarYear,Area,SpeciesGroup,NumberCaught Total
2001,Bundaberg,Other,1
2001,Bundaberg,Shark,62
2001,Bundaberg,Turtle,12
2001,Bundaberg Total,,75
2001,Cairns,Mammal,1
2001,Cairns,Other,16
2001,Cairns,Shark,79
2001,Cairns,Turtle,4
2001,Cairns Total,,100
2001,Capricorn Coast,Other,3
2001,Capricorn Coast,Shark,87
2001,Capricorn Coast Total,,90
2001,Gladstone,Shark,32
2001,Gold Coast,Mammal,9
2001,Gold Coast,Other,34
2001,Gold Coast,Shark,85
2001,Gold Coast,Turtle,27
2001,Gold Coast Total,,155
2001,Mackay,Other,36
2001,Mackay,Shark,134
2001,Mackay,Turtle,2
2001,Mackay Total,,172
2001,Nth Stradbroke Is.,Shark,20
2001,Nth Stradbroke Is.,Turtle,6
2001,Nth Stradbroke Is. Total,,26
2001,Rainbow Beach,Mammal,1
2001,Rainbow Beach,Other,6
2001,Rainbow Beach,Shark,35
2001,Rainbow Beach,Turtle,2
2001,Rainbow Beach Total,,44
2001,Sunshine Coast North,Mammal,2
2001,Sunshine Coast North,Other,31
2001,Sunshine Coast North,Shark,76
2001,Sunshine Coast North,Turtle,6
2001,Sunshine Coast North Total,,115
2001,Sunshine Coast South & Bribie Island,Mammal,2
2001,Sunshine Coast South & Bribie Island,Other,7
2001,Sunshine Coast South & Bribie Island,Shark,35
2001,Sunshine Coast South & Bribie Island,Turtle,4
2001,Sunshine Coast South & Bribie Island Total,,48
2001,Townsville,Mammal,1
2001,Townsville,Other,15
2001,Townsville,Shark,89
2001,Townsville,Turtle,3
2001,Townsville Total,,108
2001 Total,,,965
2002,Bundaberg,Other,3
2002,Bundaberg,Shark,62
2002,Bundaberg,Turtle,7
2002,Bundaberg Total,,72
2002,Cairns,Other,18
2002,Cairns,Shark,46
2002,Cairns,Turtle,6
2002,Cairns Total,,70
2002,Capricorn Coast,Other,4
2002,Capricorn Coast,Shark,91
2002,Capricorn Coast,Turtle,2
2002,Capricorn Coast Total,,97
2002,Gladstone,Other,1
2002,Gladstone,Shark,18
2002,Gladstone,Turtle,1
2002,Gladstone Total,,20
2002,Gold Coast,Mammal,8
2002,Gold Coast,Other,39
2002,Gold Coast,Shark,73
2002,Gold Coast,Turtle,22
2002,Gold Coast Total,,142
2002,Mackay,Mammal,1
2002,Mackay,Other,12
2002,Mackay,Shark,94
2002,Mackay,Turtle,5
2002,Mackay Total,,112
2002,Nth Stradbroke Is.,Shark,16
2002,Nth Stradbroke Is.,Turtle,6
2002,Nth Stradbroke Is. Total,,22
2002,Rainbow Beach,Mammal,5
2002,Rainbow Beach,Other,10
2002,Rainbow Beach,Shark,31
2002,Rainbow Beach,Turtle,1
2002,Rainbow Beach Total,,47
2002,Sunshine Coast North,Mammal,7
2002,Sunshine Coast North,Other,18
2002,Sunshine Coast North,Shark,91
2002,Sunshine Coast North,Turtle,2
2002,Sunshine Coast North Total,,118
2002,Sunshine Coast South & Bribie Island,Other,8
2002,Sunshine Coast South & Bribie Island,Shark,40
2002,Sunshine Coast South & Bribie Island,Turtle,11
2002,Sunshine Coast South & Bribie Island Total,,59
2002,Townsville,Other,7
2002,Townsville,Shark,59
2002,Townsville,Turtle,2
2002,Townsville Total,,68
2002 Total,,,827
2003,Bundaberg,Other,1
2003,Bundaberg,Shark,50
2003,Bundaberg,Turtle,5
2003,Bundaberg Total,,56
2003,Cairns,Other,20
2003,Cairns,Shark,66
2003,Cairns,Turtle,1
2003,Cairns Total,,87
2003,Capricorn Coast,Mammal,1
2003,Capricorn Coast,Other,3
2003,Capricorn Coast,Shark,66
2003,Capricorn Coast,Turtle,2
2003,Capricorn Coast Total,,72
2003,Gladstone,Other,1
2003,Gladstone,Shark,30
2003,Gladstone,Turtle,3
2003,Gladstone Total,,34
2003,Gold Coast,Mammal,10
2003,Gold Coast,Other,28
2003,Gold Coast,Shark,75
2003,Gold Coast,Turtle,8
2003,Gold Coast Total,,121
2003,Mackay,Other,12
2003,Mackay,Shark,82
2003,Mackay,Turtle,4
2003,Mackay Total,,98
2003,Nth Stradbroke Is.,Shark,8
2003,Nth Stradbroke Is.,Turtle,14
